source,filename,file_size_bytes,read_success,error,dimensions,time_count,first_time,last_time,duplicate_time_count,lat_min,lat_max,lat_resolutions,lon_min,lon_max,lon_resolutions,forecast_hours,data_variables
CFSR,pgbh06.gdas.20001211-20001215.grb2.nc.gz,9734,True,,time=20;lat=11;lon=11,20,2000-12-11 06:00:00,2000-12-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001216-20001220.grb2.nc.gz,9810,True,,time=20;lat=11;lon=11,20,2000-12-16 06:00:00,2000-12-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001221-20001225.grb2.nc.gz,9812,True,,time=20;lat=11;lon=11,20,2000-12-21 06:00:00,2000-12-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001226-20001231.grb2.nc.gz,11628,True,,time=24;lat=11;lon=11,24,2000-12-26 06:00:00,2001-01-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010101-20010105.grb2.nc.gz,9749,True,,time=20;lat=11;lon=11,20,2001-01-01 06:00:00,2001-01-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010106-20010110.grb2.nc.gz,9971,True,,time=20;lat=11;lon=11,20,2001-01-06 06:00:00,2001-01-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010111-20010115.grb2.nc.gz,9813,True,,time=20;lat=11;lon=11,20,2001-01-11 06:00:00,2001-01-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010116-20010120.grb2.nc.gz,9557,True,,time=20;lat=11;lon=11,20,2001-01-16 06:00:00,2001-01-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010121-20010125.grb2.nc.gz,9602,True,,time=20;lat=11;lon=11,20,2001-01-21 06:00:00,2001-01-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010126-20010131.grb2.nc.gz,11169,True,,time=24;lat=11;lon=11,24,2001-01-26 06:00:00,2001-02-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010201-20010205.grb2.nc.gz,9668,True,,time=20;lat=11;lon=11,20,2001-02-01 06:00:00,2001-02-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010206-20010210.grb2.nc.gz,9478,True,,time=20;lat=11;lon=11,20,2001-02-06 06:00:00,2001-02-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010211-20010215.grb2.nc.gz,9527,True,,time=20;lat=11;lon=11,20,2001-02-11 06:00:00,2001-02-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010216-20010220.grb2.nc.gz,9631,True,,time=20;lat=11;lon=11,20,2001-02-16 06:00:00,2001-02-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010221-20010225.grb2.nc.gz,9733,True,,time=20;lat=11;lon=11,20,2001-02-21 06:00:00,2001-02-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010226-20010228.grb2.nc.gz,6008,True,,time=12;lat=11;lon=11,12,2001-02-26 06:00:00,2001-03-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010301-20010305.grb2.nc.gz,9579,True,,time=20;lat=11;lon=11,20,2001-03-01 06:00:00,2001-03-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010306-20010310.grb2.nc.gz,9703,True,,time=20;lat=11;lon=11,20,2001-03-06 06:00:00,2001-03-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010311-20010315.grb2.nc.gz,9703,True,,time=20;lat=11;lon=11,20,2001-03-11 06:00:00,2001-03-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010316-20010320.grb2.nc.gz,9664,True,,time=20;lat=11;lon=11,20,2001-03-16 06:00:00,2001-03-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010321-20010325.grb2.nc.gz,9667,True,,time=20;lat=11;lon=11,20,2001-03-21 06:00:00,2001-03-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20010326-20010331.grb2.nc.gz,11136,True,,time=24;lat=11;lon=11,24,2001-03-26 06:00:00,2001-04-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
