source,filename_pattern,duplicate_rows,unique_duplicate_timestamps,unique_files,first_duplicate_timestamp,last_duplicate_timestamp,median_file_size_bytes
CFSv2,ipvh06.gdas.20110316-20110320.grb2.nc.gz,20,20,1,2011-03-16 06:00:00,2011-03-21,6597.0
CFSv2,ipvh06.gdas.20110321-20110325.grb2.nc.gz,20,20,1,2011-03-21 06:00:00,2011-03-26,6581.0
CFSv2,pgbh06.gdas.20110101-20110105.grb2.nc.gz,20,20,1,2011-01-01 06:00:00,2011-01-06,4531.0
CFSv2,pgbh06.gdas.20110106-20110110.grb2.nc.gz,20,20,1,2011-01-06 06:00:00,2011-01-11,4483.0
CFSv2,pgbh06.gdas.20110111-20110115.grb2.nc.gz,20,20,1,2011-01-11 06:00:00,2011-01-16,4509.0
CFSv2,pgbh06.gdas.20110116-20110120.grb2.nc.gz,20,20,1,2011-01-16 06:00:00,2011-01-21,4530.0
CFSv2,pgbh06.gdas.20110121-20110125.grb2.nc.gz,20,20,1,2011-01-21 06:00:00,2011-01-26,4524.0
CFSv2,pgbh06.gdas.20110201-20110205.grb2.nc.gz,20,20,1,2011-02-01 06:00:00,2011-02-06,4482.0
CFSv2,pgbh06.gdas.20110206-20110210.grb2.nc.gz,20,20,1,2011-02-06 06:00:00,2011-02-11,4555.0
CFSv2,pgbh06.gdas.20110211-20110215.grb2.nc.gz,20,20,1,2011-02-11 06:00:00,2011-02-16,4463.0
CFSv2,pgbh06.gdas.20110216-20110220.grb2.nc.gz,20,20,1,2011-02-16 06:00:00,2011-02-21,4553.0
CFSv2,pgbh06.gdas.20110221-20110225.grb2.nc.gz,20,20,1,2011-02-21 06:00:00,2011-02-26,4488.0
CFSv2,pgbh06.gdas.20110301-20110305.grb2.nc.gz,20,20,1,2011-03-01 06:00:00,2011-03-06,4504.0
CFSv2,pgbh06.gdas.20110306-20110310.grb2.nc.gz,20,20,1,2011-03-06 06:00:00,2011-03-11,4489.0
CFSv2,pgbh06.gdas.20110311-20110315.grb2.nc.gz,20,20,1,2011-03-11 06:00:00,2011-03-16,4507.0
CFSv2,pgbh06.gdas.20110316-20110320.grb2.nc.gz,20,20,1,2011-03-16 06:00:00,2011-03-21,4479.0
CFSv2,pgbh06.gdas.20110321-20110325.grb2.nc.gz,20,20,1,2011-03-21 06:00:00,2011-03-26,4454.0
CFSv2,ipvh06.gdas.20110226-20110228.grb2.nc.gz,12,12,1,2011-02-26 06:00:00,2011-03-01,4226.0
CFSv2,pgbh06.gdas.20110226-20110228.grb2.nc.gz,12,12,1,2011-02-26 06:00:00,2011-03-01,3049.0
