week_start_date,calendar_year,calendar_month,iso_year,iso_week,country,adm1_name,adm2_name,case_definition,dengue_cases
2005-04-03,2005,4,2005,13,Peru,Loreto,Maynas,Probable and confirmed,26
2005-04-10,2005,4,2005,14,Peru,Loreto,Maynas,Probable and confirmed,53
2005-04-17,2005,4,2005,15,Peru,Loreto,Maynas,Probable and confirmed,41
2005-04-24,2005,4,2005,16,Peru,Loreto,Maynas,Probable and confirmed,25
2005-05-01,2005,5,2005,17,Peru,Loreto,Maynas,Probable and confirmed,29
2005-05-08,2005,5,2005,18,Peru,Loreto,Maynas,Probable and confirmed,35
2005-05-15,2005,5,2005,19,Peru,Loreto,Maynas,Probable and confirmed,30
2005-05-22,2005,5,2005,20,Peru,Loreto,Maynas,Probable and confirmed,9
2005-05-29,2005,5,2005,21,Peru,Loreto,Maynas,Probable and confirmed,16
2005-06-05,2005,6,2005,22,Peru,Loreto,Maynas,Probable and confirmed,29
2005-06-12,2005,6,2005,23,Peru,Loreto,Maynas,Probable and confirmed,29
2005-06-19,2005,6,2005,24,Peru,Loreto,Maynas,Probable and confirmed,25
2005-06-26,2005,6,2005,25,Peru,Loreto,Maynas,Probable and confirmed,30
2005-07-03,2005,7,2005,26,Peru,Loreto,Maynas,Probable and confirmed,49
2005-07-10,2005,7,2005,27,Peru,Loreto,Maynas,Probable and confirmed,37
2005-07-17,2005,7,2005,28,Peru,Loreto,Maynas,Probable and confirmed,17
2005-07-24,2005,7,2005,29,Peru,Loreto,Maynas,Probable and confirmed,19
2005-07-31,2005,7,2005,30,Peru,Loreto,Maynas,Probable and confirmed,28
2005-08-07,2005,8,2005,31,Peru,Loreto,Maynas,Probable and confirmed,20
2005-08-14,2005,8,2005,32,Peru,Loreto,Maynas,Probable and confirmed,21
2005-08-21,2005,8,2005,33,Peru,Loreto,Maynas,Probable and confirmed,19
2005-08-28,2005,8,2005,34,Peru,Loreto,Maynas,Probable and confirmed,7
2005-09-04,2005,9,2005,35,Peru,Loreto,Maynas,Probable and confirmed,6
2005-09-11,2005,9,2005,36,Peru,Loreto,Maynas,Probable and confirmed,11
2005-09-18,2005,9,2005,37,Peru,Loreto,Maynas,Probable and confirmed,5
2005-09-25,2005,9,2005,38,Peru,Loreto,Maynas,Probable and confirmed,9
2005-10-02,2005,10,2005,39,Peru,Loreto,Maynas,Probable and confirmed,18
2005-10-09,2005,10,2005,40,Peru,Loreto,Maynas,Probable and confirmed,48
2005-10-16,2005,10,2005,41,Peru,Loreto,Maynas,Probable and confirmed,45
2005-10-23,2005,10,2005,42,Peru,Loreto,Maynas,Probable and confirmed,28
2005-10-30,2005,10,2005,43,Peru,Loreto,Maynas,Probable and confirmed,59
2005-11-06,2005,11,2005,44,Peru,Loreto,Maynas,Probable and confirmed,32
2005-11-13,2005,11,2005,45,Peru,Loreto,Maynas,Probable and confirmed,64
2005-11-20,2005,11,2005,46,Peru,Loreto,Maynas,Probable and confirmed,43
2005-11-27,2005,11,2005,47,Peru,Loreto,Maynas,Probable and confirmed,36
2005-12-04,2005,12,2005,48,Peru,Loreto,Maynas,Probable and confirmed,37
2005-12-11,2005,12,2005,49,Peru,Loreto,Maynas,Probable and confirmed,38
2005-12-18,2005,12,2005,50,Peru,Loreto,Maynas,Probable and confirmed,14
2005-12-25,2005,12,2005,51,Peru,Loreto,Maynas,Probable and confirmed,16
2006-01-01,2006,1,2005,52,Peru,Loreto,Maynas,Probable and confirmed,46
2006-01-08,2006,1,2006,1,Peru,Loreto,Maynas,Probable and confirmed,49
2006-01-15,2006,1,2006,2,Peru,Loreto,Maynas,Probable and confirmed,50
2006-01-22,2006,1,2006,3,Peru,Loreto,Maynas,Probable and confirmed,79
2006-01-29,2006,1,2006,4,Peru,Loreto,Maynas,Probable and confirmed,111
2006-02-05,2006,2,2006,5,Peru,Loreto,Maynas,Probable and confirmed,114
2006-02-12,2006,2,2006,6,Peru,Loreto,Maynas,Probable and confirmed,117
2006-02-19,2006,2,2006,7,Peru,Loreto,Maynas,Probable and confirmed,92
2006-02-26,2006,2,2006,8,Peru,Loreto,Maynas,Probable and confirmed,98
2006-03-05,2006,3,2006,9,Peru,Loreto,Maynas,Probable and confirmed,91
2006-03-12,2006,3,2006,10,Peru,Loreto,Maynas,Probable and confirmed,67
2006-03-19,2006,3,2006,11,Peru,Loreto,Maynas,Probable and confirmed,55
2006-03-26,2006,3,2006,12,Peru,Loreto,Maynas,Probable and confirmed,43
2006-04-02,2006,4,2006,13,Peru,Loreto,Maynas,Probable and confirmed,33
2006-04-09,2006,4,2006,14,Peru,Loreto,Maynas,Probable and confirmed,17
2006-04-16,2006,4,2006,15,Peru,Loreto,Maynas,Probable and confirmed,26
